file_name,dataset,model_type,seed,epsilon,verifier,property,result
MNIST_0.008_6418.out,MNIST,prune_0.6,50,0.008,abc,18,0
MNIST_0.010_1939.out,MNIST,prune_0.1,100,0.01,abc,39,0
MNIST_0.005_8443.out,MNIST,prune_0.8,50,0.005,abc,43,0
MNIST_0.007_8624.out,MNIST,prune_0.8,70,0.007,abc,24,0
MNIST_0.006_5344.out,MNIST,prune_0.5,40,0.006,abc,44,1
MNIST_0.005_4218.out,MNIST,prune_0.4,30,0.005,abc,18,1
MNIST_0.008_8323.out,MNIST,prune_0.8,40,0.008,abc,23,0
MNIST_0.008_7697.out,MNIST,prune_0.7,70,0.008,abc,97,0
MNIST_0.008_5201.out,MNIST,prune_0.5,30,0.008,abc,1,1
MNIST_0.008_5051.out,MNIST,prune_0.5,10,0.008,abc,51,1
MNIST_0.007_5252.out,MNIST,prune_0.5,30,0.007,abc,52,0
MNIST_0.006_6411.out,MNIST,prune_0.6,50,0.006,abc,11,1
MNIST_0.007_4546.out,MNIST,prune_0.4,60,0.007,abc,46,1
MNIST_0.004_6062.out,MNIST,prune_0.6,10,0.004,abc,62,1
MNIST_0.010_1333.out,MNIST,prune_0.1,40,0.01,abc,33,0
MNIST_0.004_6042.out,MNIST,prune_0.6,10,0.004,abc,42,1
MNIST_0.008_397.out,MNIST,baseline,40,0.008,abc,97,0
MNIST_0.009_795.out,MNIST,baseline,80,0.009,abc,95,0
MNIST_0.005_7767.out,MNIST,prune_0.7,80,0.005,abc,67,0
MNIST_0.010_2532.out,MNIST,prune_0.2,60,0.01,abc,32,0
MNIST_0.009_3239.out,MNIST,prune_0.3,30,0.009,abc,39,0
MNIST_0.009_6592.out,MNIST,prune_0.6,60,0.009,abc,92,0
MNIST_0.006_8494.out,MNIST,prune_0.8,50,0.006,abc,94,1
MNIST_0.008_6734.out,MNIST,prune_0.6,80,0.008,abc,34,0
MNIST_0.006_2097.out,MNIST,prune_0.2,10,0.006,abc,97,0
MNIST_0.004_665.out,MNIST,baseline,70,0.004,abc,65,1
MNIST_0.004_5856.out,MNIST,prune_0.5,90,0.004,abc,56,1
MNIST_0.004_7039.out,MNIST,prune_0.7,10,0.004,abc,39,1
MNIST_0.004_451.out,MNIST,baseline,50,0.004,abc,51,1
MNIST_0.009_8766.out,MNIST,prune_0.8,80,0.009,abc,66,0
MNIST_0.010_4033.out,,,,,,,0
MNIST_0.007_8524.out,MNIST,prune_0.8,60,0.007,abc,24,0
MNIST_0.008_6152.out,MNIST,prune_0.6,20,0.008,abc,52,0
MNIST_0.010_149.out,MNIST,baseline,20,0.01,abc,49,0
MNIST_0.008_8920.out,MNIST,prune_0.8,100,0.008,abc,20,0
MNIST_0.006_693.out,MNIST,baseline,70,0.006,abc,93,0
MNIST_0.005_5745.out,MNIST,prune_0.5,80,0.005,abc,45,1
MNIST_0.008_6268.out,MNIST,prune_0.6,30,0.008,abc,68,1
MNIST_0.005_3249.out,MNIST,prune_0.3,30,0.005,abc,49,1
MNIST_0.009_5385.out,MNIST,prune_0.5,40,0.009,abc,85,0
MNIST_0.004_441.out,MNIST,baseline,50,0.004,abc,41,1
MNIST_0.005_885.out,MNIST,baseline,90,0.005,abc,85,1
MNIST_0.006_4732.out,MNIST,prune_0.4,80,0.006,abc,32,1
MNIST_0.007_1385.out,MNIST,prune_0.1,40,0.007,abc,85,0
MNIST_0.004_5366.out,MNIST,prune_0.5,40,0.004,abc,66,1
MNIST_0.006_8183.out,MNIST,prune_0.8,20,0.006,abc,83,0
MNIST_0.009_1514.out,MNIST,prune_0.1,60,0.009,abc,14,0
MNIST_0.007_2502.out,MNIST,prune_0.2,60,0.007,abc,2,1
MNIST_0.007_2894.out,MNIST,prune_0.2,90,0.007,abc,94,0
MNIST_0.004_4078.out,MNIST,prune_0.4,10,0.004,abc,78,1
MNIST_0.006_1463.out,MNIST,prune_0.1,50,0.006,abc,63,1
MNIST_0.005_8958.out,MNIST,prune_0.8,100,0.005,abc,58,1
MNIST_0.007_5113.out,MNIST,prune_0.5,20,0.007,abc,13,0
MNIST_0.006_6961.out,MNIST,prune_0.6,100,0.006,abc,61,1
MNIST_0.004_7506.out,MNIST,prune_0.7,60,0.004,abc,6,1
MNIST_0.004_5481.out,MNIST,prune_0.5,50,0.004,abc,81,1
MNIST_0.008_8457.out,MNIST,prune_0.8,50,0.008,abc,57,0
MNIST_0.009_3668.out,MNIST,prune_0.3,70,0.009,abc,68,1
MNIST_0.009_8139.out,MNIST,prune_0.8,20,0.009,abc,39,0
MNIST_0.010_6209.out,,,,,,,0
MNIST_0.005_4580.out,MNIST,prune_0.4,60,0.005,abc,80,1
MNIST_0.006_8765.out,MNIST,prune_0.8,80,0.006,abc,65,0
MNIST_0.004_1598.out,MNIST,prune_0.1,60,0.004,abc,98,1
