dataset,pruning,seed,epsilon,property_group,result
JPL,prune0.3,60.0,0.0007,50-99,38
JPL,prune0.3,60.0,0.0008,0-49,17
JPL,prune0.3,60.0,0.0008,50-99,36
JPL,prune0.3,60.0,0.0009,0-49,12
JPL,prune0.3,60.0,0.0009,50-99,35
JPL,prune0.3,70.0,0.0003,0-49,43
JPL,prune0.3,70.0,0.0003,50-99,42
JPL,prune0.3,70.0,0.0005,0-49,40
JPL,prune0.3,70.0,0.0005,50-99,38
JPL,prune0.3,70.0,0.0006,0-49,35
JPL,prune0.3,70.0,0.0006,50-99,38
JPL,prune0.3,70.0,0.0007,0-49,26
JPL,prune0.3,70.0,0.0007,50-99,37
JPL,prune0.3,70.0,0.0008,0-49,19
JPL,prune0.3,70.0,0.0008,50-99,35
JPL,prune0.3,70.0,0.0009,0-49,14
JPL,prune0.3,70.0,0.0009,50-99,33
JPL,prune0.3,80.0,0.0003,0-49,41
JPL,prune0.3,80.0,0.0003,50-99,41
JPL,prune0.3,80.0,0.0005,0-49,38
JPL,prune0.3,80.0,0.0005,50-99,38
JPL,prune0.3,80.0,0.0006,0-49,32
JPL,prune0.3,80.0,0.0006,50-99,37
JPL,prune0.3,80.0,0.0007,0-49,26
JPL,prune0.3,80.0,0.0007,50-99,37
JPL,prune0.3,80.0,0.0008,0-49,20
JPL,prune0.3,80.0,0.0008,50-99,36
JPL,prune0.3,80.0,0.0009,0-49,15
JPL,prune0.3,80.0,0.0009,50-99,36
JPL,prune0.3,90.0,0.0003,0-49,38
JPL,prune0.3,90.0,0.0003,50-99,39
JPL,prune0.3,90.0,0.0005,0-49,28
JPL,prune0.3,90.0,0.0005,50-99,36
JPL,prune0.3,90.0,0.0006,0-49,23
JPL,prune0.3,90.0,0.0006,50-99,37
JPL,prune0.3,90.0,0.0007,0-49,17
JPL,prune0.3,90.0,0.0007,50-99,36
JPL,prune0.3,90.0,0.0008,0-49,16
JPL,prune0.3,90.0,0.0008,50-99,36
JPL,prune0.3,90.0,0.0009,0-49,9
JPL,prune0.3,90.0,0.0009,50-99,36
JPL,prune0.3,100.0,0.0003,0-49,44
JPL,prune0.3,100.0,0.0003,50-99,41
JPL,prune0.3,100.0,0.0005,0-49,37
JPL,prune0.3,100.0,0.0005,50-99,38
JPL,prune0.3,100.0,0.0006,0-49,31
JPL,prune0.3,100.0,0.0006,50-99,37
JPL,prune0.3,100.0,0.0007,0-49,24
JPL,prune0.3,100.0,0.0007,50-99,37
