dataset,pruning,seed,epsilon,result
JPL,prune0.4,100,0.0007,49
JPL,prune0.4,20,0.0007,48
JPL,prune0.4,30,0.0007,59
JPL,prune0.4,40,0.0007,55
JPL,prune0.4,50,0.0007,47
JPL,prune0.4,60,0.0007,65
JPL,prune0.4,70,0.0007,64
JPL,prune0.4,80,0.0007,62
JPL,prune0.4,90,0.0007,53
JPL,prune0.5,10,0.0007,52
JPL,prune0.5,100,0.0007,49
JPL,prune0.5,20,0.0007,43
JPL,prune0.5,30,0.0007,63
JPL,prune0.5,40,0.0007,54
JPL,prune0.5,50,0.0007,52
JPL,prune0.5,60,0.0007,65
JPL,prune0.5,70,0.0007,55
JPL,prune0.5,80,0.0007,61
JPL,prune0.5,90,0.0007,53
JPL,prune0.6,10,0.0007,53
JPL,prune0.6,100,0.0007,56
JPL,prune0.6,20,0.0007,42
JPL,prune0.6,30,0.0007,62
JPL,prune0.6,40,0.0007,56
JPL,prune0.6,50,0.0007,54
JPL,prune0.6,60,0.0007,65
JPL,prune0.6,70,0.0007,64
JPL,prune0.6,80,0.0007,62
JPL,prune0.6,90,0.0007,59
JPL,prune0.7,10,0.0007,57
JPL,prune0.7,100,0.0007,54
JPL,prune0.7,20,0.0007,54
JPL,prune0.7,30,0.0007,56
JPL,prune0.7,40,0.0007,57
JPL,prune0.7,50,0.0007,55
JPL,prune0.7,60,0.0007,61
JPL,prune0.7,70,0.0007,60
JPL,prune0.7,80,0.0007,56
JPL,prune0.7,90,0.0007,58
JPL,prune0.8,10,0.0007,53
JPL,prune0.8,100,0.0007,52
JPL,prune0.8,20,0.0007,45
JPL,prune0.8,30,0.0007,67
JPL,prune0.8,40,0.0007,54
JPL,prune0.8,50,0.0007,62
JPL,prune0.8,60,0.0007,62
JPL,prune0.8,70,0.0007,60
JPL,prune0.8,80,0.0007,53
JPL,prune0.8,90,0.0007,58
JPL,baseline,10,0.0008,49
JPL,baseline,100,0.0008,40
JPL,baseline,20,0.0008,43
JPL,baseline,30,0.0008,54
JPL,baseline,40,0.0008,44
JPL,baseline,50,0.0008,41
JPL,baseline,60,0.0008,56
JPL,baseline,70,0.0008,49
JPL,baseline,80,0.0008,55
JPL,baseline,90,0.0008,53
JPL,prune0.1,10,0.0008,44
JPL,prune0.1,100,0.0008,34
JPL,prune0.1,20,0.0008,35
JPL,prune0.1,30,0.0008,41
JPL,prune0.1,40,0.0008,44
JPL,prune0.1,50,0.0008,45
JPL,prune0.1,60,0.0008,54
JPL,prune0.1,70,0.0008,50
JPL,prune0.1,80,0.0008,53
JPL,prune0.1,90,0.0008,48
JPL,prune0.2,10,0.0008,35
JPL,prune0.2,100,0.0008,50
JPL,prune0.2,20,0.0008,36
JPL,prune0.2,30,0.0008,41
JPL,prune0.2,40,0.0008,44
JPL,prune0.2,50,0.0008,44
JPL,prune0.2,60,0.0008,55
JPL,prune0.2,70,0.0008,54
JPL,prune0.2,80,0.0008,56
JPL,prune0.2,90,0.0008,50
JPL,prune0.3,10,0.0008,38
JPL,prune0.3,100,0.0008,51
JPL,prune0.3,20,0.0008,37
JPL,prune0.3,30,0.0008,47
JPL,prune0.3,40,0.0008,44
JPL,prune0.3,50,0.0008,29
JPL,prune0.3,60,0.0008,53
JPL,prune0.3,70,0.0008,54
JPL,prune0.3,80,0.0008,56
JPL,prune0.3,90,0.0008,52
JPL,prune0.4,10,0.0008,40
JPL,prune0.4,100,0.0008,42
JPL,prune0.4,20,0.0008,38
JPL,prune0.4,30,0.0008,53
JPL,prune0.4,40,0.0008,46
JPL,prune0.4,50,0.0008,31
JPL,prune0.4,60,0.0008,53
JPL,prune0.4,70,0.0008,56
JPL,prune0.4,80,0.0008,56
JPL,prune0.4,90,0.0008,51
JPL,prune0.5,10,0.0008,38
JPL,prune0.5,100,0.0008,43
JPL,prune0.5,20,0.0008,27
JPL,prune0.5,30,0.0008,57
JPL,prune0.5,40,0.0008,46
JPL,prune0.5,50,0.0008,37
JPL,prune0.5,60,0.0008,54
JPL,prune0.5,70,0.0008,46
JPL,prune0.5,80,0.0008,56
JPL,prune0.5,90,0.0008,50
JPL,prune0.6,10,0.0008,44
JPL,prune0.6,100,0.0008,48
JPL,prune0.6,20,0.0008,29
JPL,prune0.6,30,0.0008,55
JPL,prune0.6,40,0.0008,47
JPL,prune0.6,50,0.0008,39
JPL,prune0.6,60,0.0008,54
JPL,prune0.6,70,0.0008,54
JPL,prune0.6,80,0.0008,56
JPL,prune0.6,90,0.0008,53
JPL,prune0.7,10,0.0008,48
JPL,prune0.7,100,0.0008,46
JPL,prune0.7,20,0.0008,44
JPL,prune0.7,30,0.0008,53
JPL,prune0.7,40,0.0008,47
JPL,prune0.7,50,0.0008,37
JPL,prune0.7,60,0.0008,54
JPL,prune0.7,70,0.0008,52
JPL,prune0.7,80,0.0008,49
JPL,prune0.7,90,0.0008,52
JPL,prune0.8,10,0.0008,39
JPL,prune0.8,100,0.0008,46
JPL,prune0.8,20,0.0008,37
JPL,prune0.8,30,0.0008,57
JPL,prune0.8,40,0.0008,46
JPL,prune0.8,50,0.0008,56
